                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     39,               0.020499,               0.013892,              0.0030903,               0.002119,                0.86345,                0.86839,                0.92299,                0.63584,                0.85109,                0.86226,                0.91629,                0.61406,               0.015858,               0.012612,              0.0047152,               0.001806,               0.006238,               0.006238,               0.006238
                     40,               0.019976,               0.013608,              0.0030535,              0.0019903,                0.85354,                0.86666,                0.92308,                0.62643,                0.85368,                0.85853,                0.92162,                0.61681,               0.015697,               0.012621,              0.0046707,              0.0017733,               0.006139,               0.006139,               0.006139
                     41,               0.020054,               0.013715,              0.0030582,              0.0019689,                0.82561,                0.88508,                0.92049,                0.62746,                 0.8248,                0.88308,                0.92025,                0.61119,               0.015776,               0.012792,               0.004688,              0.0014801,                0.00604,                0.00604,                0.00604
                     42,               0.019837,                0.01376,              0.0030929,              0.0028481,                0.87603,                0.86926,                0.93427,                0.62679,                0.87022,                0.86616,                0.93049,                0.61537,               0.015683,               0.012801,              0.0046941,              0.0024844,               0.005941,               0.005941,               0.005941
                     43,               0.020052,               0.013726,               0.003047,              0.0016975,                0.89254,                0.84553,                0.92441,                0.62931,                0.86673,                0.86211,                0.90673,                0.61128,               0.015779,               0.012937,              0.0046903,              0.0016155,               0.005842,               0.005842,               0.005842
                     44,                0.02024,               0.013484,              0.0030178,              0.0016335,                0.87087,                0.89289,                0.93482,                0.63652,                0.87166,                0.89726,                0.93866,                0.62767,               0.015256,               0.012548,              0.0046242,               0.001242,               0.005743,               0.005743,               0.005743
                     45,               0.019283,               0.013337,              0.0029569,              0.0017395,                0.85851,                0.89319,                0.92507,                0.64081,                0.86157,                0.89268,                0.93557,                0.62068,                 0.0153,               0.012588,               0.004567,              0.0017038,               0.005644,               0.005644,               0.005644
                     46,                 0.0194,               0.013488,              0.0029743,              0.0016864,                0.87324,                 0.8762,                0.93541,                0.63978,                0.87759,                0.88052,                0.94172,                0.62509,               0.015284,               0.012536,              0.0045705,              0.0011992,               0.005545,               0.005545,               0.005545
                     47,               0.019375,               0.013299,              0.0029475,              0.0018216,                0.89471,                0.85799,                0.93318,                0.64394,                0.89534,                0.85897,                0.93767,                0.62888,               0.015469,               0.012485,               0.004577,              0.0012006,               0.005446,               0.005446,               0.005446
                     48,               0.019267,               0.013386,              0.0029806,              0.0019504,                0.83058,                0.89353,                0.93481,                0.64229,                0.81471,                0.87772,                0.91796,                0.62279,               0.015361,               0.012488,              0.0045573,              0.0012707,               0.005347,               0.005347,               0.005347
                     49,               0.019505,               0.013405,              0.0029811,              0.0019385,                0.84286,                0.89313,                0.93016,                0.63259,                0.84732,                0.89876,                0.93582,                0.62256,               0.015506,               0.012572,                0.00458,              0.0013322,               0.005248,               0.005248,               0.005248
                     50,                0.01913,                 0.0134,              0.0029481,              0.0015551,                0.85496,                 0.9004,                0.93183,                0.63592,                0.84334,                0.90933,                0.93435,                0.62365,               0.015272,               0.012389,              0.0045299,              0.0012801,               0.005149,               0.005149,               0.005149
                     51,               0.018623,               0.013131,               0.002899,              0.0013466,                0.88221,                0.89377,                0.95027,                0.65281,                0.88877,                0.89644,                0.95304,                0.63498,               0.015163,               0.012408,              0.0045248,              0.0011496,                0.00505,                0.00505,                0.00505
                     52,                0.01884,               0.013077,              0.0028798,              0.0011813,                0.85084,                0.90247,                0.93582,                 0.6495,                 0.8599,                0.89974,                0.94092,                0.62878,               0.015023,               0.012475,              0.0045211,              0.0013288,               0.004951,               0.004951,               0.004951
                     53,               0.018306,               0.013083,              0.0028682,              0.0014794,                0.86432,                0.89822,                 0.9488,                0.65222,                 0.8635,                0.89281,                0.94433,                0.63796,               0.015163,               0.012493,              0.0044767,             0.00085995,               0.004852,               0.004852,               0.004852
                     54,               0.018335,               0.012878,              0.0028472,              0.0014241,                0.89004,                0.88175,                0.94958,                0.65033,                 0.8945,                 0.8856,                0.95592,                0.63451,               0.015234,               0.012339,              0.0044156,             0.00084831,               0.004753,               0.004753,               0.004753
                     55,               0.018376,                0.01281,              0.0028358,             0.00099203,                0.87985,                0.91068,                 0.9448,                0.65753,                0.86938,                0.90196,                0.93526,                0.63789,                0.01503,               0.012352,               0.004417,              0.0011046,               0.004654,               0.004654,               0.004654
                     56,               0.018357,                0.01284,               0.002825,              0.0012618,                0.87076,                0.88702,                0.93391,                 0.6383,                0.86686,                0.88343,                0.92849,                0.63112,               0.015099,               0.012267,              0.0045342,              0.0012662,               0.004555,               0.004555,               0.004555
                     57,               0.018683,               0.013099,              0.0028451,              0.0016419,                0.87894,                0.87388,                0.93093,                0.64511,                0.88591,                0.88449,                 0.9336,                 0.6346,                0.01505,               0.012308,              0.0045383,               0.001059,               0.004456,               0.004456,               0.004456
                     58,                0.01804,               0.012785,              0.0028113,              0.0012573,                0.87365,                0.85301,                0.93449,                0.65355,                0.88427,                0.86778,                0.94475,                0.64439,               0.014863,               0.012469,              0.0044283,              0.0010409,               0.004357,               0.004357,               0.004357
                     59,               0.017735,               0.012739,              0.0027955,              0.0013659,                0.86974,                0.88635,                0.93705,                0.65024,                0.86957,                0.88617,                0.93766,                0.63781,               0.014817,               0.012296,              0.0043778,              0.0010605,               0.004258,               0.004258,               0.004258
                     60,               0.017948,               0.012722,              0.0027631,              0.0011551,                0.87197,                0.89447,                0.94511,                0.65875,                0.87159,                0.89429,                0.94629,                0.64305,               0.014548,               0.012158,              0.0043959,              0.0011136,               0.004159,               0.004159,               0.004159
                     61,               0.017956,               0.012621,              0.0027459,             0.00090862,                0.90973,                0.87042,                0.94327,                 0.6597,                0.91408,                0.87485,                0.94988,                0.64704,               0.014753,               0.012242,              0.0044125,             0.00090469,                0.00406,                0.00406,                0.00406
                     62,               0.017532,               0.012494,              0.0027529,              0.0010428,                0.87199,                 0.8947,                0.94365,                0.66015,                0.87288,                0.89577,                0.93501,                 0.6404,               0.014929,               0.012251,              0.0044356,             0.00079763,               0.003961,               0.003961,               0.003961
                     63,               0.017354,               0.012574,              0.0027387,              0.0011397,                0.90004,                0.86939,                0.94602,                0.66521,                0.90113,                0.87055,                0.94722,                0.64281,               0.014718,               0.012199,              0.0043964,             0.00085471,               0.003862,               0.003862,               0.003862
                     64,               0.017183,               0.012657,              0.0027172,             0.00086082,                0.87994,                0.90397,                0.94793,                0.65968,                0.87876,                0.89809,                0.94433,                0.63913,               0.014802,                0.01222,              0.0044365,             0.00079384,               0.003763,               0.003763,               0.003763
                     65,               0.017354,               0.012455,              0.0027046,              0.0011164,                 0.8671,                0.91763,                0.95123,                0.66429,                0.86756,                0.89769,                0.94385,                 0.6433,                0.01486,                0.01236,              0.0043608,              0.0012925,               0.003664,               0.003664,               0.003664
                     66,               0.017066,               0.012347,              0.0026797,             0.00095605,                0.88747,                0.89786,                0.94267,                0.65881,                0.88943,                0.89917,                0.94452,                0.64807,               0.015017,               0.012266,              0.0043976,             0.00080664,               0.003565,               0.003565,               0.003565
                     67,               0.016928,               0.012419,               0.002693,               0.000875,                0.87648,                0.91065,                0.94009,                 0.6584,                0.88933,                0.89929,                 0.9402,                0.63606,               0.014997,                 0.0123,              0.0043623,              0.0010773,               0.003466,               0.003466,               0.003466
